Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea
Moorabbin,3,h,1090000,14.6,3,2,2,784,160,1960,Kingston City Council
Moorabbin,3,h,836000,14.6,3,1,4,695,165,1970,Kingston City Council
Moorabbin,3,h,1417250,14.6,3,2,2,653,180,1950,Kingston City Council
Moorabbin,2,h,950000,14.6,2,1,3,649,75,1950,Kingston City Council
Moorabbin,4,h,1140000,14.6,4,2,1,318,242,2015,Kingston City Council
Moorabbin,3,t,750000,14.6,3,2,1,164,123,2010,Kingston City Council
Moorabbin,4,h,1000000,14.6,4,3,4,581,159,1960,Kingston City Council
Moorabbin,4,h,1200000,14.6,4,2,1,696,214,1955,Kingston City Council
Moorabbin,3,h,987000,14.6,3,1,1,603,112,1960,Kingston City Council
Moorabbin,3,h,937000,14.6,3,2,1,534,104,1960,Kingston City Council
Moorabbin,4,h,1426000,14.6,4,2,1,720,218,1950,Kingston City Council
Moorabbin,4,h,1016000,14.6,4,3,2,272,188,2000,Kingston City Council
Moorabbin,3,h,901000,14.6,2,2,3,558,133,1955,Kingston City Council
Moorabbin,4,h,1300000,14.6,4,3,2,743,171,1973,Kingston City Council
Moorabbin,3,h,975000,14.6,2,1,2,576,121,1940,Kingston City Council
Moorabbin,4,h,1070000,14.6,4,2,1,603,140,1955,Kingston City Council
Moorabbin,2,u,639000,14.6,2,1,1,83,79,1960,Kingston City Council
Moorabbin,2,u,605000,14.6,2,1,2,180,68,1980,Kingston City Council
Moorabbin,3,h,960000,14.6,3,1,1,593,115,1960,Kingston City Council
Moorabbin,3,h,725000,14.6,3,2,1,374,137,1950,Kingston City Council
Moorabbin,3,h,800000,14.6,3,2,2,261,107,1990,Kingston City Council
Moorabbin,3,t,917000,14.6,3,2,2,472,152,2001,Kingston City Council
Moorabbin,3,h,890000,14.6,3,1,1,698,114,1960,Kingston City Council
Moorabbin,3,h,1008000,14.6,3,2,1,1660,160,1960,Kingston City Council
Moorabbin,2,h,1191000,14.6,2,1,2,756,97,1950,Kingston City Council
Moorabbin,2,h,776000,14.6,2,1,1,209,101,2002,Kingston City Council
Moorabbin,4,h,1035000,14.6,3,1,2,688,161,1950,Kingston City Council
Moorabbin,4,h,1160000,14.6,4,2,2,588,199,2011,Kingston City Council
Moorabbin,1,u,240000,14.6,1,1,1,0,43,1970,Kingston City Council
Moorabbin,4,t,1105000,14.6,3,2,2,220,187,2015,Kingston City Council
Newport,3,h,826000,8.4,2,1,2,281,100,1957,Hobsons Bay City Council
Newport,3,h,900000,8.4,3,2,2,194,176,2010,Hobsons Bay City Council
Newport,3,t,962000,8.4,3,2,2,283,179,2011,Hobsons Bay City Council
Newport,2,h,800000,8.4,2,1,1,244,73,1940,Hobsons Bay City Council
Newport,4,h,710000,8.4,4,1,2,329,108,1955,Hobsons Bay City Council
Newport,4,h,940000,8.4,3,2,1,379,172,1930,Hobsons Bay City Council
Newport,3,h,655800,8.4,2,2,1,178,102,2009,Hobsons Bay City Council
Newport,4,h,1082000,8.4,4,3,2,233,165,2011,Hobsons Bay City Council
Newport,3,h,1210000,8.4,3,1,1,546,144,1920,Hobsons Bay City Council
Newport,3,h,880000,8.4,3,1,1,557,111,1950,Hobsons Bay City Council
Newport,1,u,335000,8.4,1,1,1,0,50,2005,Hobsons Bay City Council
Newport,4,h,1260000,8.4,4,1,3,757,159,1960,Hobsons Bay City Council
Newport,3,h,1400000,8.4,3,2,3,2522,195,2006,Hobsons Bay City Council
Newport,3,h,995000,8.4,3,1,2,316,118,1960,Hobsons Bay City Council
Newport,2,h,962000,8.4,2,1,1,402,94,1920,Hobsons Bay City Council
Newport,3,h,800000,8.4,3,2,1,0,138,1970,Hobsons Bay City Council
Newport,3,h,1305000,8.4,3,1,0,357,112,1900,Hobsons Bay City Council
Newport,2,u,485000,8.4,2,1,1,0,65,2011,Hobsons Bay City Council
Newport,3,h,810000,8.4,3,1,1,390,84,1970,Hobsons Bay City Council
Newport,4,h,1620000,8.4,4,3,1,425,233,2015,Hobsons Bay City Council
Newport,3,h,923000,8.4,3,1,0,221,118,1900,Hobsons Bay City Council
Newport,2,h,1030000,8.4,2,1,2,470,136,1930,Hobsons Bay City Council
Newport,3,h,1046000,8.4,3,2,2,284,125,1890,Hobsons Bay City Council
Newport,2,h,740000,8.4,2,2,1,213,127,2006,Hobsons Bay City Council
Newport,4,h,970000,8.4,3,1,1,619,151,1915,Hobsons Bay City Council
Newport,3,t,735000,8.4,3,2,2,0,162,2007,Hobsons Bay City Council
Newport,2,u,485000,8.4,2,1,1,0,63,2006,Hobsons Bay City Council
Newport,3,h,950000,8.4,3,1,2,453,145,1950,Hobsons Bay City Council
Newport,4,h,1280000,8.4,4,2,1,458,153,1930,Hobsons Bay City Council
Newport,4,h,1040000,8.4,3,2,2,299,198,2004,Hobsons Bay City Council
Newport,4,h,1115000,8.4,4,1,1,0,163,1880,Hobsons Bay City Council
Newport,3,h,1176000,8.4,3,1,2,767,111,1960,Hobsons Bay City Council
Newport,4,h,1265000,8.4,5,2,2,774,185,1950,Hobsons Bay City Council
Newport,2,h,801000,8.4,1,1,1,343,106,1920,Hobsons Bay City Council
Newport,3,t,770000,8.4,3,2,2,224,132,2015,Hobsons Bay City Council
Newport,3,h,993000,8.4,3,2,2,348,158,1900,Hobsons Bay City Council
Newport,2,h,650000,8.4,2,1,1,149,62,1890,Hobsons Bay City Council
Newport,3,h,891500,8.4,3,1,0,344,130,1920,Hobsons Bay City Council
Newport,3,h,805000,8.4,3,1,2,322,104,1930,Hobsons Bay City Council
Newport,2,h,680000,8.4,2,1,1,229,101,2000,Hobsons Bay City Council
Newport,2,h,793000,8.4,2,1,1,144,140,1995,Hobsons Bay City Council
Newport,3,t,747000,8.4,3,2,2,753,170,2005,Hobsons Bay City Council
Newport,2,h,896000,8.4,2,1,0,297,95,1900,Hobsons Bay City Council
Newport,2,h,890000,8.4,2,1,0,168,90,1900,Hobsons Bay City Council
Newport,4,t,930000,8.4,4,3,3,278,188,2009,Hobsons Bay City Council
Newport,3,h,1151000,8.4,2,1,5,571,120,1920,Hobsons Bay City Council
Newport,4,t,820000,8.4,4,2,2,753,204,2006,Hobsons Bay City Council
Newport,2,h,816000,8.4,2,1,1,315,104,1930,Hobsons Bay City Council
Newport,3,h,945000,8.4,4,2,1,487,190,2017,Hobsons Bay City Council
Newport,1,h,643700,8.4,1,1,0,129,45,1900,Hobsons Bay City Council
Newport,2,h,760000,8.4,2,1,2,255,109,1930,Hobsons Bay City Council
Newport,8,h,881000,8.4,6,2,4,663,190,1920,Hobsons Bay City Council
Newport,3,h,900000,8.4,3,2,2,360,168,2013,Hobsons Bay City Council
Niddrie,3,t,830000,11.2,3,3,2,303,236,2013,Moonee Valley City Council
Niddrie,4,h,1126000,11.2,4,2,2,650,150,1960,Moonee Valley City Council
Niddrie,3,h,1235000,11.2,3,2,1,0,204,2009,Moonee Valley City Council
Niddrie,2,u,457000,11.2,2,1,1,0,89,1975,Moonee Valley City Council
Niddrie,2,u,660000,11.2,2,2,1,217,113,2006,Moonee Valley City Council
Niddrie,3,t,770000,11.2,3,2,1,313,145,2011,Moonee Valley City Council
Niddrie,4,h,1350000,11.2,4,3,2,747,242,1985,Moonee Valley City Council
Niddrie,3,t,820000,11.2,3,2,1,229,180,2012,Moonee Valley City Council
Niddrie,3,h,991000,11.2,3,1,1,716,139,1950,Moonee Valley City Council
Niddrie,2,h,657000,11.2,2,2,1,268,104,1950,Moonee Valley City Council
Niddrie,3,h,710000,11.2,3,2,1,317,140,1950,Moonee Valley City Council
Niddrie,3,t,840000,11.2,3,2,2,374,180,1990,Moonee Valley City Council
Niddrie,5,h,1400000,11.2,4,2,2,650,290,2005,Moonee Valley City Council
Niddrie,4,h,1080000,11.2,3,3,2,539,162,1976,Moonee Valley City Council
Niddrie,3,h,1015000,11.2,3,1,1,643,125,1950,Moonee Valley City Council
Niddrie,4,h,1245000,11.2,4,3,3,0,225,1950,Moonee Valley City Council
Niddrie,3,h,1105000,11.2,3,1,1,643,119,1950,Moonee Valley City Council
North Melbourne,4,h,2920000,2.3,4,3,4,310,276,1880,Melbourne City Council
North Melbourne,2,u,540000,2.3,2,1,1,0,65,1970,Melbourne City Council
North Melbourne,2,u,726000,2.3,2,1,1,0,64,1970,Melbourne City Council
North Melbourne,3,h,1340000,2.3,3,1,0,83,129,1980,Melbourne City Council
North Melbourne,2,t,1105000,2.3,2,2,1,88,119,2010,Melbourne City Council
North Melbourne,2,t,841000,2.3,2,1,1,215,0,2000,Melbourne City Council
North Melbourne,2,u,528500,2.3,2,1,1,0,74,1960,Melbourne City Council
North Melbourne,1,u,410000,2.3,1,1,1,1045,55,2011,Melbourne City Council
North Melbourne,2,u,550000,2.3,2,1,2,0,54,1975,Melbourne City Council
North Melbourne,2,u,470000,2.3,2,1,1,0,57,2006,Melbourne City Council
North Melbourne,2,u,640000,2.3,2,2,1,0,84,2006,Melbourne City Council
North Melbourne,2,u,720000,2.3,2,2,1,0,98,1998,Melbourne City Council
North Melbourne,3,h,1325000,2.3,3,2,1,97,139,2011,Melbourne City Council
North Melbourne,1,u,368000,2.3,1,1,1,0,52,2003,Melbourne City Council
North Melbourne,2,u,450000,2.3,2,1,1,1588,71,1970,Melbourne City Council
North Melbourne,3,h,1385000,2.3,3,2,0,118,150,1890,Melbourne City Council
North Melbourne,2,h,990000,2.3,2,2,1,584,120,2008,Melbourne City Council
North Melbourne,2,u,606000,2.3,2,1,2,0,84,2000,Melbourne City Council
North Melbourne,1,u,450000,2.3,1,1,1,0,60,2012,Melbourne City Council
North Melbourne,3,h,1470000,2.3,2,1,0,232,93,1930,Melbourne City Council
North Melbourne,2,h,1010000,2.3,2,2,0,109,100,1900,Melbourne City Council
North Melbourne,2,h,1266000,2.3,2,1,0,161,106,1960,Melbourne City Council
North Melbourne,2,u,620000,2.3,2,1,2,0,69,2004,Melbourne City Council
North Melbourne,2,u,630000,2.3,2,1,1,0,75,2002,Melbourne City Council
North Melbourne,2,u,560000,2.3,2,1,1,2300,68,1975,Melbourne City Council
North Melbourne,2,u,665500,2.3,2,2,1,0,96,2012,Melbourne City Council
North Melbourne,2,u,550055,2.3,2,1,2,1004,65,1971,Melbourne City Council
North Melbourne,1,u,358000,2.3,1,1,1,649,43,1970,Melbourne City Council
North Melbourne,1,u,320000,2.3,1,1,1,0,45,1975,Melbourne City Council
North Melbourne,3,t,1000000,2.3,3,2,1,61,170,1920,Melbourne City Council
North Melbourne,2,u,598000,2.3,2,1,1,0,85,2005,Melbourne City Council
North Melbourne,2,h,885000,2.3,2,1,1,111,73,1880,Melbourne City Council
North Melbourne,2,u,587134,2.3,2,1,1,0,1,1970,Melbourne City Council
Northcote,2,h,1286000,5.5,2,1,1,245,108,1890,Darebin City Council
Northcote,3,h,1200000,5.5,3,1,1,215,125,1920,Darebin City Council
Northcote,3,h,1382500,5.5,3,2,2,286,188,2007,Darebin City Council
Northcote,4,h,1600000,5.5,4,2,1,464,179,1910,Darebin City Council
Northcote,3,h,1710000,5.5,3,1,1,247,160,1890,Darebin City Council
Northcote,6,h,2000000,5.5,6,2,2,772,257,1992,Darebin City Council
Northcote,2,u,583000,5.5,2,2,1,0,69,2011,Darebin City Council
Northcote,2,t,650000,5.5,2,2,2,55,100,2013,Darebin City Council
Northcote,4,h,1700000,5.5,4,2,1,415,218,1900,Darebin City Council
Northcote,2,h,1575000,5.5,2,1,3,607,126,1945,Darebin City Council
Northcote,2,h,950000,5.5,2,1,1,191,73,1920,Darebin City Council
Northcote,3,h,1655000,5.5,3,1,3,472,101,1924,Darebin City Council
Northcote,3,h,1255000,5.5,3,2,1,259,156,1910,Darebin City Council
Northcote,2,h,1020000,5.5,2,1,2,347,115,1935,Darebin City Council
Northcote,1,u,435000,5.5,1,1,2,0,55,1970,Darebin City Council
Northcote,2,h,790000,5.5,2,1,1,136,78,2000,Darebin City Council
Northcote,2,u,605000,5.5,2,1,2,0,65,2000,Darebin City Council
Northcote,1,u,385000,5.5,1,1,0,0,41,1970,Darebin City Council
Northcote,3,h,1190000,5.5,3,1,1,445,125,1920,Darebin City Council
Northcote,3,t,865000,5.5,3,1,2,184,108,2006,Darebin City Council
Northcote,4,h,2175000,5.5,5,2,1,573,186,1890,Darebin City Council
Northcote,1,u,312000,5.5,1,1,1,0,39,1960,Darebin City Council
Northcote,2,h,890000,5.5,2,1,1,225,92,1910,Darebin City Council
Northcote,5,h,2700000,5.5,4,3,3,490,331,1920,Darebin City Council
Northcote,2,h,1101000,5.5,2,1,0,229,99,1910,Darebin City Council
Northcote,3,h,1050000,5.5,3,1,0,158,106,1910,Darebin City Council
Northcote,3,h,1010000,5.5,3,1,1,178,124,2000,Darebin City Council
Northcote,3,h,1900000,5.5,3,1,1,522,174,1910,Darebin City Council
Northcote,2,h,888000,5.5,2,1,1,190,102,1985,Darebin City Council
Northcote,2,h,1020000,5.5,2,1,1,354,97,1920,Darebin City Council
Northcote,2,h,844000,5.5,2,1,1,174,106,1995,Darebin City Council
Northcote,3,t,900000,5.5,3,2,2,608,138,2012,Darebin City Council
Northcote,3,h,1300000,5.5,3,1,1,328,135,1920,Darebin City Council
Northcote,3,u,810000,5.5,3,1,2,150,119,2000,Darebin City Council
Northcote,2,t,701000,5.5,2,1,1,0,109,2000,Darebin City Council
Northcote,2,u,665000,5.5,2,1,1,120,76,1975,Darebin City Council
Northcote,3,h,2315000,5.5,3,1,2,899,143,1960,Darebin City Council
Northcote,2,h,1170000,5.5,2,1,3,453,93,1920,Darebin City Council
Northcote,3,h,1715000,5.5,3,1,1,407,143,1900,Darebin City Council
Northcote,1,u,422000,5.5,1,1,1,0,40,1970,Darebin City Council
Northcote,3,h,1474000,5.5,3,1,0,304,131,1910,Darebin City Council
Northcote,2,h,1035000,5.5,2,1,2,243,102,1890,Darebin City Council
Northcote,2,u,460000,5.5,2,1,1,0,65,2009,Darebin City Council
Northcote,3,h,1760000,5.5,2,2,2,403,180,1920,Darebin City Council
Northcote,2,h,1095000,5.5,2,1,2,306,86,1910,Darebin City Council
Northcote,3,h,1225000,5.5,3,1,2,307,135,1910,Darebin City Council
Northcote,2,h,1211000,5.5,2,1,1,178,100,1900,Darebin City Council
Northcote,2,u,770000,5.5,2,1,1,129,115,1975,Darebin City Council
Northcote,3,h,1000000,5.5,3,1,1,440,131,1930,Darebin City Council
Northcote,2,h,1050000,5.5,2,1,2,301,100,1925,Darebin City Council
Northcote,5,h,1700000,5.5,5,3,1,450,265,1930,Darebin City Council
Northcote,3,h,2160000,5.5,3,2,1,338,90,1920,Darebin City Council
Northcote,1,u,400000,5.5,1,1,1,0,43,2014,Darebin City Council
Northcote,4,h,1420000,5.5,3,1,1,465,137,1890,Darebin City Council
Northcote,4,h,1950000,5.5,4,2,1,489,140,1910,Darebin City Council
Northcote,5,h,1820000,5.5,5,3,2,344,230,1939,Darebin City Council
Northcote,3,h,1080000,5.5,2,1,1,348,130,1910,Darebin City Council
Northcote,2,u,570000,5.5,2,1,1,0,10,1970,Darebin City Council
Northcote,2,h,1340000,5.5,2,1,1,297,108,1910,Darebin City Council
Northcote,4,h,2340000,5.5,4,2,3,824,231,1920,Darebin City Council
Northcote,2,h,1634000,5.5,2,1,2,376,109,1920,Darebin City Council
Northcote,2,h,910000,5.5,2,1,1,150,81,1995,Darebin City Council
Northcote,4,h,1650000,5.5,4,1,1,382,168,1970,Darebin City Council
Northcote,3,h,1510000,5.5,3,1,3,327,165,1900,Darebin City Council
Oak Park,4,h,865000,11.5,4,1,2,696,160,1955,Moreland City Council
Oak Park,2,u,476000,11.5,2,1,1,189,85,1995,Moreland City Council
Oak Park,3,h,706000,11.5,3,1,0,715,111,1960,Moreland City Council
Oak Park,4,h,920000,11.5,4,2,2,780,179,1965,Moreland City Council
Oak Park,2,u,522000,11.5,2,1,1,161,91,2012,Moreland City Council
Oak Park,4,h,690000,11.5,3,1,1,553,137,1960,Moreland City Council
Oak Park,3,t,770000,11.5,3,2,2,272,138,2012,Moreland City Council
Oak Park,5,h,1100000,11.5,5,2,4,783,223,1950,Moreland City Council
Oak Park,2,t,475000,11.5,2,1,1,118,113,2010,Moreland City Council
Oak Park,3,u,651000,11.5,3,2,2,198,113,2009,Moreland City Council
Oak Park,3,h,815500,11.5,3,2,2,790,165,1940,Moreland City Council
Oak Park,3,h,770000,11.5,3,2,2,382,173,1960,Moreland City Council
Oak Park,2,t,585500,11.5,2,1,1,161,86,2013,Moreland City Council
Oak Park,4,h,840000,11.5,4,1,2,704,196,1960,Moreland City Council
Oak Park,2,u,470000,11.5,2,1,1,138,76,2009,Moreland City Council
Oak Park,3,h,810000,11.5,3,1,3,763,93,1960,Moreland City Council
Oak Park,4,h,855333,11.5,4,1,2,694,183,1974,Moreland City Council
Oak Park,5,h,900000,11.5,5,2,2,568,260,1995,Moreland City Council
Oakleigh South,3,h,875000,14.7,3,2,1,258,105,1999,Kingston City Council
Oakleigh South,4,h,651000,14.7,4,2,2,214,189,2010,Kingston City Council
Oakleigh South,3,h,802000,14.7,1,1,2,533,120,1960,Kingston City Council
Oakleigh South,5,h,900000,14.7,5,2,2,558,239,1987,Kingston City Council
Oakleigh South,3,h,1000000,14.7,3,2,2,575,120,1960,Kingston City Council
Oakleigh South,4,h,801347,14.7,4,2,1,567,164,1970,Kingston City Council
Oakleigh South,3,h,921000,14.7,3,1,2,535,129,1970,Kingston City Council
Oakleigh South,6,h,1900000,14.7,6,2,6,1200,181,1970,Kingston City Council
Oakleigh South,2,h,752500,14.7,2,1,1,308,112,1950,Kingston City Council
Oakleigh South,3,h,1067000,14.7,3,1,2,648,122,1940,Kingston City Council
Oakleigh South,3,h,1260500,14.7,3,1,1,774,107,1950,Kingston City Council
Oakleigh South,3,h,850500,14.7,3,1,2,531,118,1962,Kingston City Council
Oakleigh South,3,h,1068000,14.7,3,2,2,609,172,1970,Kingston City Council
Oakleigh South,4,h,937500,14.7,4,2,2,539,226,1993,Kingston City Council
Oakleigh South,4,h,1126000,14.7,4,2,2,530,242,1980,Kingston City Council
Oakleigh South,2,h,778000,14.7,2,1,1,806,89,1965,Kingston City Council
Parkville,4,h,1230000,2.6,4,2,2,357,249,2009,Melbourne City Council
Parkville,2,h,1805000,2.6,2,1,1,187,102,1890,Melbourne City Council
Parkville,2,h,2200000,2.6,2,2,1,190,172,1875,Melbourne City Council
Parkville,2,h,1265000,2.6,2,1,0,70,102,1890,Melbourne City Council
Parkville,4,h,1928000,2.6,4,1,0,194,186,1890,Melbourne City Council
Parkville,1,u,526000,2.6,1,1,1,2488,50,1995,Melbourne City Council
Parkville,3,h,2236000,2.6,4,2,1,154,196,1890,Melbourne City Council
Parkville,3,u,1403000,2.6,3,2,2,2401,132,1980,Melbourne City Council
Pascoe Vale,3,h,1120000,9.9,2,1,2,50,141,1950,Moreland City Council
Pascoe Vale,3,h,770000,9.9,3,1,4,560,120,1960,Moreland City Council
Pascoe Vale,4,h,975000,9.9,4,1,1,733,159,1960,Moreland City Council
Pascoe Vale,3,h,780000,9.9,3,1,1,446,115,1950,Moreland City Council
Pascoe Vale,3,u,600000,9.9,3,1,1,204,124,2008,Moreland City Council
Pascoe Vale,4,h,955000,9.9,4,2,2,686,135,1950,Moreland City Council
Pascoe Vale,4,h,1196000,9.9,4,2,2,559,281,1997,Moreland City Council
Pascoe Vale,3,h,731000,9.9,3,1,2,568,111,1960,Moreland City Council
Pascoe Vale,3,u,585000,9.9,3,1,1,180,98,2009,Moreland City Council
Pascoe Vale,2,t,480000,9.9,2,1,1,113,94,1988,Moreland City Council
Pascoe Vale,4,t,605000,9.9,4,2,1,215,157,1990,Moreland City Council
Pascoe Vale,3,h,738000,9.9,3,1,1,821,106,1974,Moreland City Council
Pascoe Vale,2,h,386000,9.9,2,1,1,111,67,1987,Moreland City Council
Pascoe Vale,2,u,452000,9.9,2,1,1,159,87,1990,Moreland City Council
Pascoe Vale,3,h,522500,9.9,3,1,1,192,121,2005,Moreland City Council
Pascoe Vale,2,h,741000,9.9,2,1,2,520,300,2006,Moreland City Council
Pascoe Vale,2,t,530000,9.9,2,1,1,156,98,2004,Moreland City Council
Pascoe Vale,3,h,815000,9.9,2,1,1,438,94,1960,Moreland City Council
Pascoe Vale,3,h,775000,9.9,3,1,1,406,103,1960,Moreland City Council
Pascoe Vale,5,h,950000,9.9,5,2,2,705,166,1950,Moreland City Council
Pascoe Vale,3,h,900000,9.9,3,1,1,570,139,1950,Moreland City Council
Pascoe Vale,3,h,835000,9.9,3,1,2,422,132,1950,Moreland City Council
Pascoe Vale,3,t,790000,9.9,3,3,1,291,175,2009,Moreland City Council
Pascoe Vale,4,h,810000,9.9,4,2,1,455,147,1950,Moreland City Council
Pascoe Vale,2,t,500000,9.9,2,1,1,147,109,2012,Moreland City Council
Pascoe Vale,2,u,485000,9.9,2,1,1,139,74,1975,Moreland City Council
Pascoe Vale,2,u,488000,9.9,3,1,2,219,84,2001,Moreland City Council
Pascoe Vale,3,h,900000,9.9,3,2,2,608,168,1940,Moreland City Council
Pascoe Vale,2,h,680000,9.9,2,1,2,590,95,1940,Moreland City Council
Pascoe Vale,3,t,590000,9.9,3,2,2,191,142,2000,Moreland City Council
Pascoe Vale,3,h,770000,9.9,3,1,3,464,124,1955,Moreland City Council
Pascoe Vale,3,h,975000,9.9,3,1,3,686,151,1970,Moreland City Council
Pascoe Vale,4,h,970000,9.9,3,2,1,535,154,1920,Moreland City Council
Pascoe Vale,3,t,600000,9.9,3,3,1,205,107,1940,Moreland City Council
Pascoe Vale,2,t,510000,9.9,2,1,1,110,91,2013,Moreland City Council
Pascoe Vale,3,h,750000,9.9,3,2,2,540,146,1999,Moreland City Council
Pascoe Vale,4,h,822000,9.9,4,2,2,250,194,1983,Moreland City Council
Pascoe Vale,3,t,430000,9.9,3,2,1,146,106,2006,Moreland City Council
Pascoe Vale,4,h,1350000,9.9,4,2,2,646,287,1995,Moreland City Council
Pascoe Vale,2,h,810000,9.9,2,1,1,783,94,1950,Moreland City Council
Pascoe Vale,2,t,550500,9.9,2,1,2,135,100,2012,Moreland City Council
Pascoe Vale,2,t,610000,9.9,2,1,1,169,109,1995,Moreland City Council
Pascoe Vale,3,u,533000,9.9,3,2,2,197,111,2007,Moreland City Council
Pascoe Vale,2,t,410000,9.9,2,1,1,105,88,2014,Moreland City Council
Pascoe Vale,3,h,600000,9.9,3,1,4,557,111,1955,Moreland City Council
Pascoe Vale,3,h,616000,9.9,3,1,1,190,108,1970,Moreland City Council
Pascoe Vale,3,h,960000,9.9,3,1,2,641,111,1950,Moreland City Council
Pascoe Vale,4,h,985000,9.9,4,2,2,511,182,2007,Moreland City Council
Pascoe Vale,3,h,670000,9.9,3,1,1,596,145,1949,Moreland City Council
Pascoe Vale,4,t,665000,9.9,4,2,2,148,141,2001,Moreland City Council
Pascoe Vale,3,h,880000,9.9,3,2,2,588,106,1960,Moreland City Council
Pascoe Vale,3,h,700000,9.9,3,1,2,449,104,1950,Moreland City Council
Pascoe Vale,3,t,600000,9.9,3,2,1,122,139,1998,Moreland City Council
Pascoe Vale,2,h,1570000,9.9,2,1,1,746,265,1950,Moreland City Council
Pascoe Vale,2,h,525500,9.9,2,1,1,111,84,2000,Moreland City Council
Pascoe Vale,3,h,612500,9.9,3,1,1,522,132,1950,Moreland City Council
Pascoe Vale,1,u,248500,9.9,1,1,1,49,49,1970,Moreland City Council
Pascoe Vale,3,h,960000,9.9,3,2,2,501,501,1960,Moreland City Council
Pascoe Vale,4,h,650000,9.9,4,1,2,410,141,1940,Moreland City Council
Pascoe Vale,3,h,500000,9.9,3,1,2,191,92,2013,Moreland City Council
Pascoe Vale,3,h,599000,9.9,3,1,1,534,100,1950,Moreland City Council
Port Melbourne,3,h,1150000,3.8,3,2,1,0,134,1990,Melbourne City Council
Port Melbourne,3,h,985000,3.8,3,1,0,171,167,1890,Melbourne City Council
Port Melbourne,3,u,1200000,3.8,3,2,2,0,139,2012,Melbourne City Council
Port Melbourne,3,h,2200000,3.8,3,2,0,250,280,1863,Melbourne City Council
Port Melbourne,4,h,2105000,3.8,4,2,3,611,181,1940,Melbourne City Council
Port Melbourne,2,u,550000,3.8,2,1,1,0,57,2012,Melbourne City Council
Port Melbourne,4,h,1915000,3.8,4,3,1,323,237,1935,Melbourne City Council
Port Melbourne,3,h,1630000,3.8,3,2,2,135,135,1997,Melbourne City Council
Port Melbourne,2,h,1000000,3.8,2,2,0,96,108,1890,Melbourne City Council
Port Melbourne,3,h,1470000,3.8,3,1,0,153,109,1880,Melbourne City Council
Port Melbourne,2,u,725000,3.8,2,2,2,0,87,2010,Melbourne City Council
Port Melbourne,2,u,600000,3.8,2,1,1,0,74,2005,Melbourne City Council
Port Melbourne,3,h,1342000,3.8,3,2,2,173,137,1900,Melbourne City Council
Port Melbourne,1,u,500000,3.8,1,1,1,0,60,2006,Melbourne City Council
Port Melbourne,2,u,795000,3.8,2,2,1,579,84,2013,Melbourne City Council
Port Melbourne,2,u,590000,3.8,2,2,1,0,70,2012,Melbourne City Council
Port Melbourne,2,u,1100000,3.8,2,2,1,0,110,2006,Melbourne City Council
Port Melbourne,2,h,1275000,3.8,2,2,1,115,115,2015,Melbourne City Council
Port Melbourne,2,h,1000000,3.8,2,1,1,90,106,2007,Melbourne City Council
Port Melbourne,4,h,1820000,3.8,4,2,1,212,158,1900,Melbourne City Council
Port Melbourne,2,u,655000,3.8,2,2,1,0,83,2000,Melbourne City Council
Port Melbourne,2,h,1350000,3.8,2,1,1,195,94,1900,Melbourne City Council
Port Melbourne,3,h,1560000,3.8,3,2,2,241,131,1900,Melbourne City Council
Port Melbourne,2,h,1060000,3.8,2,1,0,106,70,1910,Melbourne City Council
Port Melbourne,2,u,1610000,3.8,2,2,2,0,104,2007,Melbourne City Council
Port Melbourne,2,h,1101000,3.8,2,1,0,152,71,1910,Melbourne City Council
Port Melbourne,2,h,880000,3.8,2,1,2,163,83,1980,Melbourne City Council
Port Melbourne,2,h,1080000,3.8,2,1,0,105,70,1910,Melbourne City Council
Port Melbourne,2,h,1115000,3.8,2,1,0,120,76,1900,Melbourne City Council
Port Melbourne,2,u,516000,3.8,2,1,1,0,70,2004,Melbourne City Council
Port Melbourne,3,h,1753000,3.8,3,2,1,225,153,1910,Melbourne City Council
Port Melbourne,2,h,900000,3.8,2,1,0,124,70,1900,Melbourne City Council
Port Melbourne,5,h,2350000,3.8,5,1,2,350,173,1890,Melbourne City Council
Port Melbourne,3,h,1670000,3.8,3,2,1,140,169,1880,Melbourne City Council
Port Melbourne,3,h,1402000,3.8,3,1,0,108,106,1900,Melbourne City Council
Port Melbourne,3,h,1570000,3.8,3,2,1,210,211,1999,Melbourne City Council
Port Melbourne,2,h,1150000,3.8,2,1,0,82,90,1910,Melbourne City Council
Port Melbourne,3,h,1384000,3.8,3,1,0,184,100,1905,Melbourne City Council
Port Melbourne,2,u,655000,3.8,2,1,1,0,86,2006,Melbourne City Council
Port Melbourne,1,u,456000,3.8,1,1,1,0,63,2007,Melbourne City Council
Port Melbourne,2,u,520000,3.8,1,1,1,0,70,2005,Melbourne City Council
Port Melbourne,1,u,470000,3.8,1,1,1,0,62,2000,Melbourne City Council
Port Melbourne,2,u,600000,3.8,2,1,1,0,72,1996,Melbourne City Council
Port Melbourne,2,u,670000,3.8,2,1,1,0,71,2006,Melbourne City Council
Port Melbourne,2,h,1400000,3.8,2,1,1,168,102,1934,Melbourne City Council
Port Melbourne,3,h,1520000,3.8,3,2,1,0,160,2016,Melbourne City Council
Port Melbourne,1,u,600000,3.8,1,1,1,6866,63,2010,Melbourne City Council
Port Melbourne,3,u,2460000,3.8,3,2,2,5042,102,1995,Melbourne City Council
